idibgecidade,codigoibge,nomecidade,estado,idestado
1,3515509,FERNANDOPOLIS,SP,35
2,3557105,VOTUPORANGA,SP,35
3,3134400,"ITURAMA ",MG,31
4,5006309,PARANAÍBA,MS,50
5,3549102,"SAO JOAO DA BOA VISTA",SP,35
6,3549805,"SÃO JOSÉ DO RIO PRETO",SP,35
7,3524808,JALES,SP,35
8,3528205,MACEDONIA,SP,35
9,3524303,JABOTICABAL,SP,35
10,3548708,"SAO BERNARDO DO CAMPO",SP,35
11,5008305,"TRES LAGOAS",MS,50
12,3509502,CAMPINAS,SP,35
13,3515202,"ESTRELA D OESTE",SP,35
15,3550308,"SAO PAULO",SP,35
16,5300108,BRASÍLIA,DF,53
17,3502804,ARACATUBA,SP,35
18,3530102,MIRANDÓPOLIS,SP,35
19,3543402,"RIBEIRÃO PRETO",SP,35
20,3555802,URANIA,SP,35
21,3549201,"SAO JOÃO DAS DUAS PONTES",SP,35
